Item,mESC_fth1_time1_rep1,mESC_fth1_time1_rep2,mESC_fth1_time2_rep1,mESC_fth1_time2_rep2,mESC_fth1_timeboth_rep2,Thresh
# of reads,2998912,10967607,6146482,8027986,18220548,1
# of transcript molecules (unique UMI),173648,128075,135995,173619,509308,1
# of transcript molecules (unique UMI) w. bc,1914,72559,36020,114088,140148,1
# of cells,196,218,144,232,324,1
# of barcodes,16,385,118,308,522,1
# of cells after processing,122,218,144,232,324,1
# of barcodes after processing,4,13,7,12,13,1
# of barcodes after processing (concat two bc),4,17,7,17,20,1
# of cells included in family analysis,122,218,144,232,324,1
# of lineages,3,9,4,6,7,1
Size of lineages,"[119, 2, 1]","[166, 14, 11, 10, 6, 5, 3, 2, 1]","[133, 5, 4, 2]","[211, 11, 5, 3, 1, 1]","[263, 27, 14, 8, 5, 4, 3]",1
